	cluster
GTEX-WEY5-0006-SM-3GIKG	1
GTEX-QCQG-0006-SM-5SI8M	1
GTEX-13OW7-0326-SM-5J1MP	2
GTEX-11LCK-0426-SM-5A5M8	0
GTEX-131XE-0006-SM-5P9F9	1
GTEX-13OVG-0005-SM-5P9HA	1
GTEX-13OW7-0226-SM-5MR3N	4
GTEX-WFON-2326-SM-3LK7M	2
GTEX-XBED-2626-SM-4E3J5	2
GTEX-13FTY-0126-SM-5J2NZ	0
GTEX-REY6-0526-SM-2TF5M	3
GTEX-13OW8-1426-SM-5IJDT	2
GTEX-OIZH-0005-SM-2HMJN	1
GTEX-RM2N-0526-SM-2TF4N	3
GTEX-131XH-0006-SM-5O98V	1
GTEX-Y3IK-0005-SM-4WWDE	1
GTEX-ZVP2-1826-SM-5GU62	4
GTEX-13OVL-0626-SM-5KM13	0
GTEX-QESD-1526-SM-2S1QT	4
GTEX-13NZ9-0926-SM-5KM12	0
GTEX-11H98-0326-SM-5HL4S	2
GTEX-11EMC-2626-SM-59864	2
GTEX-ZPCL-2026-SM-57WFD	2
GTEX-117YW-0126-SM-5EGGN	3
GTEX-OHPL-0006-SM-3MJHB	1
GTEX-11EM3-0005-SM-5N9DK	1
GTEX-P44H-1126-SM-48TBU	0
GTEX-UJMC-0326-SM-3GAE2	3
GTEX-12ZZX-0326-SM-5DUVH	2
GTEX-145MI-0426-SM-5O99V	4
GTEX-X8HC-0726-SM-46MWG	3
GTEX-12WSI-0005-SM-5O99K	1
GTEX-S4Z8-0006-SM-3K2AQ	1
GTEX-TML8-0005-SM-32QPA	1
GTEX-12WSH-0226-SM-5GCOG	3
GTEX-139TS-0005-SM-5NQC1	1
GTEX-ZV7C-2426-SM-5NQ7Q	2
GTEX-Z9EW-1726-SM-5CVMO	2
GTEX-12KS4-0826-SM-5BC5R	2
GTEX-ZQG8-1226-SM-51MRX	2
GTEX-XLM4-0226-SM-4AT4N	4
GTEX-WL46-0126-SM-3TW8I	3
GTEX-R55C-1726-SM-3GADJ	2
GTEX-WWYW-0526-SM-3NB2W	2
GTEX-R55C-0626-SM-2TF4Q	3
GTEX-SIU8-0226-SM-2XCDS	4
GTEX-12WSI-0826-SM-5EGKD	0
GTEX-11EM3-0126-SM-5985K	3
GTEX-ZAJG-0526-SM-5S2MT	2
GTEX-13O3P-0626-SM-5L3D5	2
GTEX-13111-1726-SM-5EGJZ	4
GTEX-OIZF-0006-SM-2I5GQ	1
GTEX-QEL4-0326-SM-3GAE5	4
GTEX-Y3IK-2526-SM-4WWDM	4
GTEX-131XW-1126-SM-5EGK4	0
